,subject,diet,cas_1,cas_2,cas_3,cas_4,cas_5,malt_1,malt_2,malt_3,malt_4,malt_5
0,1,NR,159.0,74.0,94.0,33.0,61.0,83.0,64.0,96.0,118.0,80.0
1,2,NR,153.0,206.0,254.0,209.0,71.0,119.0,26.0,115.0,64.0,80.0
2,3,NR,60.0,65.0,52.0,21.0,39.0,23.0,39.0,72.0,109.0,39.0
3,4,NR,44.0,43.0,40.0,107.0,19.0,108.0,54.0,67.0,60.0,39.0
4,5,NR,42.0,95.0,66.0,53.0,64.0,61.0,20.0,20.0,100.0,24.0
5,6,NR,134.0,188.0,101.0,48.0,117.0,10.0,16.0,28.0,78.0,10.0
6,7,NR,19.0,38.0,17.0,12.0,18.0,66.0,92.0,89.0,100.0,48.0
7,8,NR,30.0,58.0,41.0,68.0,29.0,81.0,46.0,49.0,24.0,90.0
8,9,NR,62.0,40.0,84.0,67.0,36.0,40.0,26.0,54.0,89.0,66.0
9,10,NR,91.0,56.0,45.0,51.0,77.0,48.0,52.0,42.0,49.0,37.0
10,11,NR,38.0,35.0,42.0,32.0,26.0,51.0,17.0,30.0,38.0,20.0
11,12,NR,32.0,72.0,35.0,61.0,84.0,19.0,11.0,53.0,86.0,52.0
12,13,NR,100.0,97.0,79.0,199.0,164.0,24.0,36.0,109.0,17.0,155.0
13,14,NR,8.0,42.0,92.0,97.0,68.0,16.0,58.0,52.0,118.0,21.0
14,15,PR,67.0,55.0,35.0,80.0,92.0,19.0,7.0,9.0,3.0,19.0
15,16,PR,229.0,103.0,121.0,107.0,80.0,48.0,3.0,16.0,33.0,4.0
16,17,PR,70.0,40.0,70.0,102.0,39.0,24.0,0.0,1.0,56.0,10.0
17,18,PR,57.0,42.0,333.0,259.0,49.0,24.0,8.0,29.0,28.0,0.0
18,19,PR,110.0,118.0,446.0,100.0,55.0,22.0,9.0,35.0,23.0,14.0
19,20,PR,97.0,100.0,113.0,57.0,85.0,47.0,47.0,27.0,50.0,2.0
20,21,PR,45.0,101.0,56.0,47.0,59.0,64.0,31.0,55.0,11.0,18.0
21,22,PR,42.0,213.0,89.0,88.0,116.0,73.0,44.0,18.0,24.0,28.0
22,23,PR,167.0,65.0,106.0,311.0,129.0,41.0,52.0,32.0,23.0,33.0
23,24,PR,143.0,74.0,56.0,70.0,85.0,42.0,53.0,12.0,85.0,170.0
24,25,PR,172.0,126.0,229.0,275.0,188.0,24.0,6.0,19.0,15.0,56.0
25,26,PR,62.0,62.0,110.0,386.0,138.0,156.0,17.0,32.0,37.0,23.0
26,27,PR,61.0,92.0,140.0,32.0,91.0,44.0,48.0,43.0,83.0,54.0
27,28,PR,182.0,75.0,121.0,44.0,205.0,113.0,20.0,26.0,49.0,43.0
