cage;diet;d01;d02;d03;d04;d05;d06;d07;d08;d09;d10;d11;d12;d13;d14;d15;d16
1;NR;54;51;51;51;53;47;47;52;42;56;46;49;49;43;46;46
2;NR;58;59;61;57;55;58;57;57;56;55;54;58;45;52;51;61
3;PR;60;60;63;65;60;60;59;58;56;62;49;51;46;35;40;43
4;PR;66;60;58;61;53;56;53;49;53;49;40;38;32;27;31;50
5;PR;65;63;64;68;67;58;64;58;57;49;48;49;39;28;38;46
6;NR;57;54;55;53;54;51;54;56;55;54;51;57;51;52;55;53
7;PR;64;70;72;71;68;71;63;64;62;50;56;49;39;38;37;61
8;NR;59;59;58;56;60;58;58;58;56;54;56;56;47;51;48;56
9;NR;52;56;52;50;47;53;54;51;51;54;50;49;55;49;40;53
10;PR;46;53;53;59;64;59;53;48;47;51;46;43;38;39;37;42
11;NR;55;54;51;52;52;52;51;51;52;52;54;52;59;44;49;46
12;PR;52;62;61;66;67;62;63;56;58;49;51;50;45;39;40;38
13;NR;53;52;48;45;55;48;51;47;49;51;50;51;48;53;45;46
14;PR;48;59;54;56;62;53;55;53;51;46;43;49;44;39;39;44
